surname,surname_latin,n
Молидор,Molidor,2
Колпакова,Kolpakova,2
Локк,Lokk,2
Моллер,Moller,2
Коллау,Kollau,2
Колебер,Koleber,2
Коменда,Komenda,2
Коленбах,Kolenbah,2
Колесник,Kolesnik,2
Колесник-Митцих,Kolesnik-Mitcih,2
Колесникова,Kolesnikova,2
Локштедт,Lokštedt,2
Моль,Molʹ,2
Кольберг,Kolʹberg,2
Кольмаер,Kolʹmaer,2
Кондратьев,Kondratʹev,2
Кондрашева,Kondraševa,2
Кноблох,Knobloh,2
Лоозе,Looze,2
Монингер-Зандер,Moninger-Zander,2
Кнорр,Knorr,2
Кооль,Koolʹ,2
Коновалов,Konovalov,2
Коновалова,Konovalova,2
Моненгер,Monenger,2
Монтай,Montaj,2
Кнейс,Knejs,2
Кнельзен,Knelʹzen,2
Кнельс,Knelʹs,2
Кнехт,Kneht,2
Мосман,Mosman,2
Котова,Kotova,2
Моторин,Motorin,2
Косс,Koss,2
Костбар,Kostbar,2
Лоттер,Lotter,2
Косых,Kosyh,2
Мох,Moh,2
Кнапп,Knapp,2
Кнауп,Knaup,2
Лебер,Leber,2
Кеберлен,Keberlen,2
Левей,Levej,2
Лебтаг,Lebtag,2
Мезень,Mezenʹ,2
Керберг,Kerberg,2
Кербель,Kerbelʹ,2
Кергаль,Kergalʹ,2
Мержвинский,Meržvinskij,2
Кепп,Kepp,2
Кеппле,Kepple,2
Кеплин,Keplin,2
Мередиан,Meredian,2
Керефова,Kerefova,2
Кейдер,Kejder,2
Мейзер,Mejzer,2
Леммер,Lemmer,2
Лейменштоль,Lejmenštolʹ,2
Мейкснер,Mejksner,2
Лейн,Lejn,2
Мейндорф,Mejndorf,2
Лейнгард,Lejngard,2
Лемон,Lemon,2
Келерамн,Keleramn,2
Келем,Kelem,2
Лейхнер,Lejhner,2
Лейхт,Lejht,2
Лейхтлинг,Lejhtling,2
Лемш,Lemš,2
Кельблер,Kelʹbler,2
Кельбах,Kelʹbah,2
Мельник,Melʹnik,2
Менгель,Mengelʹ,2
Леопольд,Leopolʹd,2
Кенке,Kenke,2
Ленц-Люфт,Lenc-Lûft,2
Кетлер,Ketler,2
Метнер,Metner,2
Мессингер,Messinger,2
Кестнер,Kestner,2
Метте,Mette,2
Метцгер,Metcger,2
Мецгер,Mecger,2
Лефранк,Lefrank,2
Кехер,Keher,2
Мешалкина-Дорн,Mešalkina-Dorn,2
Лещинский,Leŝinskij,2
Лучер,Lučer,2
Кудинова,Kudinova,2
Кубиц,Kubic,2
Кудряшова,Kudrâšova,2
Луговской,Lugovskoj,2
Курдюкова,Kurdûkova,2
Курле,Kurle,2
Купферштейн,Kupferštejn,2
Муравлева,Muravleva,2
Муравский,Muravskij,2
Лукин,Lukin,2
Кулит,Kulit,2
Лукшаидер,Lukšaider,2
Муль,Mulʹ,2
Мундковски,Mundkovski,2
Куни,Kuni,2
Мунк,Munk,2
Кунн,Kunn,2
Кунов,Kunov,2
Кунова,Kunova,2
Лунева,Luneva,2
Кунстман,Kunstman,2
Мунш,Munš,2
Мутик,Mutik,2
Кухмола,Kuhmola,2
Кухман,Kuhman,2
Муценек,Mucenek,2
Кабланов,Kablanov,2
Кабельский,Kabelʹskij,2
Лагай,Lagaj,2
Мазер-Тимошкина,Mazer-Timoškina,2
Казаковский,Kazakovskij,2
Каиль,Kailʹ,2
Маингард,Maingard,2
Маргис,Margis,2
Маргейм,Margejm,2
Карп,Karp,2
Карповский,Karpovskij,2
Карл,Karl,2
Марквард,Markvard,2
Маркова,Markova,2
Маркелова,Markelova,2
Карманов,Karmanov,2
Карновский,Karnovskij,2
Карнаухова,Karnauhova,2
Капеллер,Kapeller,2
Лапен,Lapen,2
Мартовицкая,Martovickaâ,2
Мартен,Marten,2
Марсал,Marsal,2
Марталер,Martaler,2
Мартынов,Martynov,2
Марцинковская,Marcinkovskaâ,2
Мархель,Marhelʹ,2
Марцен,Marcen,2
Капфенштейн,Kapfenštejn,2
Карачаева,Karačaeva,2
Карас,Karas,2
Май-Муншау,Maj-Munšau,2
Маляс,Malâs,2
Майдер,Majder,2
Ламберг,Lamberg,2
Майгефер,Majgefer,2
Майзингер,Majzinger,2
Калингер,Kalinger,2
Калиш,Kališ,2
Кампф,Kampf,2
Камлевский,Kamlevskij,2
Ламмерт,Lammert,2
Майнвейлер,Majnvejler,2
Кайер,Kajer,2
Майер-Горбунова,Majer-Gorbunova,2
Майер-Волкова,Majer-Volkova,2
Майер-Муравьева,Majer-Muravʹeva,2
Майерле,Majerle,2
Камерер,Kamerer,2
Макелько,Makelʹko,2
Кайст,Kajst,2
Макус,Makus,2
Калачева,Kalačeva,2
Макаревич,Makarevič,2
Калаш,Kalaš,2
Калашникова,Kalašnikova,2
Мальке,Malʹke,2
Кан,Kan,2
Мангаль,Mangalʹ,2
Мансфельд,Mansfelʹd,2
Манц,Manc,2
Маевская,Maevskaâ,2
Матизен,Matizen,2
Касимова,Kasimova,2
Маслянкевич,Maslânkevič,2
Масольд,Masolʹd,2
Каснер,Kasner,2
Каст,Kast,2
Маттисен,Mattisen,2
Матус,Matus,2
Лау,Lau,2
Лауренц,Laurenc,2
Кафке,Kafke,2
Мауль-Валицкая,Maulʹ-Valickaâ,2
Маценко,Macenko,2
Каусманн,Kausmann,2
Каутная,Kautnaâ,2
Каутный,Kautnyj,2
Лаутеншлегер,Lautenšleger,2
Кауфельд,Kaufelʹd,2
Кауффельд,Kauffelʹd,2
Маак,Maak,2
Лаас,Laas,2
Лаатц,Laatc,2
Машталлер,Maštaller,2
Кшеминский,Kšeminskij,2
Любимова,Lûbimova,2
Любовицкий,Lûbovickij,2
Мюлленберг,Mûllenberg,2
Люкс,Lûks,2
Кюльбах,Kûlʹbah,2
Кюн,Kûn,2
Кюне,Kûne,2
Лютман,Lûtman,2
Овчинников,Ovčinnikov,2
Овчинникова,Ovčinnikova,2
Овчаренко,Ovčarenko,2
Обгольц,Obgolʹc,2
Обрам,Obram,2
Оборовская,Oborovskaâ,2
Оборник,Obornik,2
Оберлендер,Oberlender,2
Обернаур,Obernaur,2
Нидергаус,Nidergaus,2
Нибур,Nibur,2
Ник,Nik,2
Никитина-Иост,Nikitina-Iost,2
Николаи,Nikolai,2
Николай,Nikolaj,2
Нитче,Nitče,2
Ниц,Nic,2
Нихельман,Nihelʹman,2
Орженбовский,Orženbovskij,2
Опп,Opp,2
Орлова,Orlova,2
Орел,Orel,2
Оренштейн,Orenštejn,2
Ом,Om,2
Олих,Olih,2
Омельченко,Omelʹčenko,2
Олех,Oleh,2
Окснер,Oksner,2
Ольбрихт,Olʹbriht,2
Ольхин,Olʹhin,2
Ольферт,Olʹfert,2
Новик,Novik,2
Нолль,Nollʹ,2
Нойфельд,Nojfelʹd,2
Ноак,Noak,2
Нег,Neg,2
Неблинг,Nebling,2
Нерлинг,Nerling,2
Нейбергер,Nejberger,2
Нейберт,Nejbert,2
Некрасов,Nekrasov,2
Нейкирх,Nejkirh,2
Неймарк,Nejmark,2
Нейланд,Nejland,2
Нейц,Nejc,2
Нейф,Nejf,2
Нейштегер,Nejšteger,2
Нетц,Netc,2
Нетцель,Netcelʹ,2
Неф,Nef,2
Нефедова,Nefedova,2
Освальд-Морозова,Osvalʹd-Morozova,2
Оствальд,Ostvalʹd,2
Островский,Ostrovskij,2
Нус,Nus,2
Нусбаум,Nusbaum,2
Назарова,Nazarova,2
Найберт,Najbert,2
Нацарейнус,Nacarejnus,2
Нюренберг,Nûrenberg,2
Нэдлер,Nédler,2
Едиг,Edig,2
Евсеева,Evseeva,2
Едамус,Edamus,2
Ермилин,Ermilin,2
Ерш,Erš,2
Ершов,Eršov,2
Ершова,Eršova,2
Ейде,Ejde,2
Ейбауэр,Ejbauér,2
Екель,Ekelʹ,2
Еланцев,Elancev,2
Енч,Enč,2
Ессер,Esser,2
Святогор,Svâtogor,2
Свобода,Svoboda,2
Сидорина,Sidorina,2
Тибелиус,Tibelius,2
Сизова,Sizova,2
Тилик,Tilik,2
Тимм,Timm,2
Тилле,Tille,2
Тикке,Tikke,2
Тимохина,Timohina,2
Сименс,Simens,2
Симан,Siman,2
Синькова,Sinʹkova,2
Титке,Titke,2
Титов,Titov,2
Ситникова,Sitnikova,2
Тисен,Tisen,2
Сихварт,Sihvart,2
Тихонов,Tihonov,2
Трибус,Tribus,2
Спиридонова,Spiridonova,2
Тринклер,Trinkler,2
Спицер,Spicer,2
Троссин,Trossin,2
Срединский,Sredinskij,2
Требтау,Trebtau,2
Тренкенш,Trenkenš,2
Трухан,Truhan,2
Траубе,Traube,2
Траутер,Trauter,2
Трахтенберг,Trahtenberg,2
Соберский,Soberskij,2
Сорока,Soroka,2
Сорх,Sorh,2
Том,Tom,2
Соловьева,Solovʹeva,2
Томе,Tome,2
Соо,Soo,2
Терре,Terre,2
Теплов,Teplov,2
Терните,Ternite,2
Сейдлер,Sejdler,2
Сейвальд,Sejvalʹd,2
Тейзе,Tejze,2
Селезнева,Selezneva,2
Сейц-Кутузова,Sejc-Kutuzova,2
Тецлав,Teclav,2
Тешев,Tešev,2
Стиль,Stilʹ,2
Стрелкова,Strelkova,2
Струве,Struve,2
Степовая,Stepovaâ,2
Степанова,Stepanova,2
Стендер,Stender,2
Стадлер,Stadler,2
Суппер,Supper,2
Супес,Supes,2
Суханов,Suhanov,2
Таг,Tag,2
Савич,Savič,2
Сабельфельд,Sabelʹfelʹd,2
Сазонова,Sazonova,2
Тарасова,Tarasova,2
Сак,Sak,2
Сайденсаль,Sajdensalʹ,2
Сайк,Sajk,2
Тамке,Tamke,2
Самсонов,Samsonov,2
Салатова,Salatova,2
Тальке,Talʹke,2
Сальцман,Salʹcman,2
Танненберг,Tannenberg,2
Санталов,Santalov,2
Тах,Tah,2
Тауберт,Taubert,2
Таубенбергер,Taubenberger,2
Сафенрейдер,Safenrejder,2
Тюрк,Tûrk,2
Уберт,Ubert,2
Цвейцих,Cvejcih,2
Цвенгер,Cvenger,2
Хватцев,Hvatcev,2
Фидлер,Fidler,2
Цигеман,Cigeman,2
Цизак,Cizak,2
Цират,Cirat,2
Фик,Fik,2
Филиппов,Filippov,2
Филиппова,Filippova,2
Циллер,Ciller,2
Фикель,Fikelʹ,2
Фиолетова,Fioletova,2
Цитлау,Citlau,2
Фитц,Fitc,2
Фиц-Пельц,Fic-Pelʹc,2
Цихлер-Гуржиева,Cihler-Guržieva,2
Цицер,Cicer,2
Фихтнер,Fihtner,2
Фишбах,Fišbah,2
Фрич,Frič,2
Фридлендер,Fridlender,2
Фризин,Frizin,2
Фрикель,Frikelʹ,2
Фриман,Friman,2
Фринцлер,Frincler,2
Христиансен,Hristiansen,2
Фриауф,Friauf,2
Фромиллер,Fromiller,2
Фрост,Frost,2
Фрейндт,Frejndt,2
Фрейшер,Frejšer,2
Фрайс,Frajs,2
Францке,Francke,2
Францен,Francen,2
Фраас,Fraas,2
Фляум,Flâum,2
Флигер,Fliger,2
Флинк,Flink,2
Уккерман,Ukkerman,2
Флекк,Flekk,2
Флемминг,Flemming,2
Флеммер,Flemmer,2
Флехнер,Flehner,2
Укстин,Ukstin,2
Фландерка,Flanderka,2
Флатто,Flatto,2
Флюг,Flûg,2
Ульянова,Ulʹânova,2
Ульбрих-Савина,Ulʹbrih-Savina,2
Ульман,Ulʹman,2
Фогельман,Fogelʹman,2
Форселиус,Forselius,2
Хорст,Horst,2
Фоленвейдер,Folenvejder,2
Цоль,Colʹ,2
Фольк,Folʹk,2
Фолькер,Folʹker,2
Фольмер-Геринг,Folʹmer-Gering,2
Фосс,Foss,2
Цеб,Ceb,2
Федоров,Fedorov,2
Федерау,Federau,2
Феделяк,Fedelâk,2
Федулова,Fedulova,2
Цепик,Cepik,2
Ферингер,Feringer,2
Ференец,Ferenec,2
Ферштудт,Ferštudt,2
Фейдер,Fejder,2
Фейзер,Fejzer,2
Фейлер,Fejler,2
Фелер,Feler,2
Цейслер,Cejsler,2
Фейфер-Фауст,Fejfer-Faust,2
Фельский,Felʹskij,2
Фенглер,Fengler,2
Ценнер,Cenner,2
Фенер,Fener,2
Фенская,Fenskaâ,2
Цееб,Ceeb,2
Феер,Feer,2
Фефлер,Fefler,2
Фефер,Fefer,2
Усков,Uskov,2
Худякова,Hudâkova,2
Худовая-Андреас,Hudovaâ-Andreas,2
Цубер,Cuber,2
Фурхнер,Furhner,2
Уфельман,Ufelʹman,2
Фуст,Fust,2
Фарбер,Farber,2
Харкевич,Harkevič,2
Цайдер,Cajder,2
Цайгер,Cajger,2
Цайзер,Cajzer,2
Фаллер,Faller,2
Файль,Fajlʹ,2
Фалентин,Falentin,2
Цайслер,Cajsler,2
Цайхнер,Cajhner,2
Файфер,Fajfer,2
Фальмер,Falʹmer,2
Фальтик,Falʹtik,2
Цан,Can,2
Цандер,Cander,2
Фафенгут,Fafengut,2
Фафенрот,Fafenrot,2
Цшауль,Cšaulʹ,2
Цызман,Cyzman,2
Абб,Abb,2
Абрагам,Abragam,2
Абрам,Abram,2
Абрамов,Abramov,2
Абермет,Abermet,2
Абент,Abent,2
Авакьян,Avakʹân,2
Аппельганс,Appelʹgans,2
Арльд-Осадчая,Arlʹd-Osadčaâ,2
Арне,Arne,2
Апельганц,Apelʹganc,2
Артэс,Artés,2
Амбони,Amboni,2
Аква,Akva,2
Айжбель,Ajžbelʹ,2
Акимова,Akimova,2
Аллингер,Allinger,2
Аллен,Allen,2
Аллендорф,Allendorf,2
Акопова,Akopova,2
Амосова,Amosova,2
Алерт,Alert,2
Амент,Ament,2
Айснер,Ajsner,2
Аксенова,Aksenova,2
Айхлер,Ajhler,2
Акарман,Akarman,2
Альбина,Alʹbina,2
Альберти,Alʹberti,2
Альмендингер,Alʹmendinger,2
Альтман,Alʹtman,2
Альф,Alʹf,2
Андриевская,Andrievskaâ,2
Андриас,Andrias,2
Андреев,Andreev,2
Ангерман,Angerman,2
Андерсон,Anderson,2
Ангальдт,Angalʹdt,2
Анзельм,Anzelʹm,2
Анохин,Anohin,2
Анер,Aner,2
Антипин,Antipin,2
Анциферова-Гевейлер,Anciferova-Gevejler,2
Анатольева,Anatolʹeva,2
Асельбор,Aselʹbor,2
Асельпурин,Aselʹpurin,2
Асельпурина-Илларионова,Aselʹpurina-Illarionova,2
Атькова,Atʹkova,2
Аугуст,August,2
Аусбургер,Ausburger,2
Афанасьев,Afanasʹev,2
Ауэрбах,Auérbah,2
Ашхотов,Ašhotov,2
Швендик,Švendik,2
Швендих,Švendih,2
Швенк,Švenk,2
Швенке,Švenke,2
Швабенландт,Švabenlandt,2
Швабауер,Švabauer,2
Шварцбург,Švarcburg,2
Швальбе,Švalʹbe,2
Швангерус,Švangerus,2
Ширгин,Širgin,2
Ширин,Širin,2
Ширлинг,Širling,2
Ширмахер,Širmaher,2
Шилейн,Šilejn,2
Шимф,Šimf,2
Шиль,Šilʹ,2
Шитт,Šitt,2
Шифман,Šifman,2
Шифф,Šiff,2
Шишкина,Šiškina,2
Шпраер,Špraer,2
Шрепп,Šrepp,2
Шрейбер-Пискунова,Šrejber-Piskunova,2
Шрейберг,Šrejberg,2
Шпейт,Špejt,2
Шпетер,Špeter,2
Шпета,Špeta,2
Шпурре,Špurre,2
Шпулин,Špulin,2
Шпарвассер,Šparvasser,2
Шпайман,Špajman,2
Шпахер,Špaher,2
Шмидель,Šmidelʹ,2
Шмирер,Šmirer,2
Шмитгаль,Šmitgalʹ,2
Шлевинг,Šleving,2
Шледевиц,Šledevic,2
Шмер,Šmer,2
Шлейвин,Šlejvin,2
Шлейдовец,Šlejdovec,2
Шкулепа,Škulepa,2
Шорнбаум,Šornbaum,2
Шольц,Šolʹc,2
Шнайбель,Šnajbelʹ,2
Шнайт,Šnajt,2
Шедель,Šedelʹ,2
Шевцова,Ševcova,2
Шеппе,Šeppe,2
Шермер,Šermer,2
Шейбе,Šejbe,2
Шейман,Šejman,2
Шейнгов,Šejngov,2
Шельгорн,Šelʹgorn,2
Шельске,Šelʹske,2
Шенмайер,Šenmajer,2
Шенер,Šener,2
Шенфиш,Šenfiš,2
Шесслер,Šessler,2
Штиб,Štib,2
Штирмер,Štirmer,2
Штикельмайер,Štikelʹmajer,2
Штикельмаер,Štikelʹmaer,2
Штриплинг,Štripling,2
Штром,Štrom,2
Штрейтенбергер,Štrejtenberger,2
Штреслер,Štresler,2
Штрумбергер,Štrumberger,2
Штрунк,Štrunk,2
Штранц,Štranc,2
Штрасгейм,Štrasgejm,2
Штоберт,Štobert,2
Шторх,Štorh,2
Штоквич,Štokvič,2
Штезель,Štezelʹ,2
Штерле,Šterle,2
Штеркель,Šterkelʹ,2
Штерц,Šterc,2
Штерцер,Štercer,2
Штейбезанд,Štejbezand,2
Штейгер,Štejger,2
Штеймиллер,Štejmiller,2
Штейнберг,Štejnberg,2
Штейнингер,Štejninger,2
Штейнпресс,Štejnpress,2
Штейнерт,Štejnert,2
Штенц,Štenc,2
Штурман,Šturman,2
Штум,Štum,2
Штумм,Štumm,2
Штадель,Štadelʹ,2
Штабель,Štabelʹ,2
Штадельман,Štadelʹman,2
Штайнбах,Štajnbah,2
Штайнерт,Štajnert,2
Штанге,Štange,2
Штах,Štah,2
Штаудингер,Štaudinger,2
Шташ,Štaš,2
Шуппе,Šuppe,2
Шульдейс,Šulʹdejs,2
Шунк,Šunk,2
Шаберт,Šabert,2
Шарих,Šarih,2
Шаповалова,Šapovalova,2
Шайдер,Šajder,2
Шайбель,Šajbelʹ,2
Шамнэ,Šamné,2
Шайфель,Šajfelʹ,2
Шалье,Šalʹe,2
Шан,Šan,2
Шанк,Šank,2
Шахт,Šaht,2
Шаадт,Šaadt,2
Шютце,Šûtce,2
Яковлев,Âkovlev,2
Якель,Âkelʹ,2
Янн,Ânn,2
Янер,Âner,2
Янецкий,Âneckij,2
Янсон,Ânson,2
Яскин,Âskin,2
Яуфман-Гоммер,Âufman-Gommer,2
Юдт,Ûdt,2
Юрченко,Ûrčenko,2
Юргене,Ûrgene,2
Юргенс,Ûrgens,2
Юрк,Ûrk,2
Юрьева,Ûrʹeva,2
Юлиус,Ûlius,2
Юнгус,Ûngus,2
Юнкус,Ûnkus,2
Юхневич,Ûhnevič,2
Щедрова,Ŝedrova,2
Эгипте,Égipte,2
Эбнер,Ébner,2
Эрбис,Érbis,2
Эрдман,Érdman,2
Эрберт,Érbert,2
Эппингер,Éppinger,2
Эрлер,Érler,2
Эрленбуш,Érlenbuš,2
Эрмансон,Érmanson,2
Эрн,Érn,2
Эренберг,Érenberg,2
Эрентраут,Érentraut,2
Эртлей,Értlej,2
Эрфорт,Érfort,2
Эйдмиллер,Éjdmiller,2
Эйзенкрейн,Éjzenkrejn,2
Эмрих,Émrih,2
Экке,Ékke,2
Эммерет,Émmeret,2
Элерт,Élert,2
Экерт,Ékert,2
Эйтель,Éjtelʹ,2
Эйхорн,Éjhorn,2
Эйхельбергер,Éjhelʹberger,2
Экштайн,Ékštajn,2
Энгельбрехт,Éngelʹbreht,2
Энц,Énc,2
Энци,Énci,2
Эстерлейн,Ésterlejn,2
Этц,Étc,2
Чиковски,Čikovski,1
Чистосердова,Čistoserdova,1
Чиховской,Čihovskoj,1
Чриттер-Гельвин,Čritter-Gelʹvin,1
Чеченов,Čečenov,1
Чечулин,Čečulin,1
Чебурахина-Цицер,Čeburahina-Cicer,1
Червинский,Červinskij,1
Черпакова,Čerpakova,1
Черкасова,Čerkasova,1
Чернякова,Černâkova,1
Черникова-Гардер,Černikova-Garder,1
Чернилевский,Černilevskij,1
Чернилевская,Černilevskaâ,1
Черногребель,Černogrebelʹ,1
Черноус,Černous,1
Черне,Černe,1
Черная,Černaâ,1
Чернай,Černaj,1
Черный,Černyj,1
Черных,Černyh,1
Чернышова,Černyšova,1
Чернышева,Černyševa,1
Череповская,Čerepovskaâ,1
Черемин,Čeremin,1
Черемина,Čeremina,1
Четвертухина,Četvertuhina,1
Чехман,Čehman,1
Чехальский,Čehalʹskij,1
Чешлык,Češlyk,1
Чуча,Čuča,1
Чубаров,Čubarov,1
Чуркина,Čurkina,1
Чумакова,Čumakova,1
Чумакова-Забалд,Čumakova-Zabald,1
Чуланова-Дорш,Čulanova-Dorš,1
Чукашева,Čukaševa,1
Чуняева-Кинас,Čunâeva-Kinas,1
Чуевская,Čuevskaâ,1
Чухман,Čuhman,1
Чухаев,Čuhaev,1
Чабурина,Čaburina,1
Чапкин,Čapkin,1
Чаплыгина-Шульц,Čaplygina-Šulʹc,1
Чарочкин,Čaročkin,1
Чарочкина,Čaročkina,1
Чарочкина-Редченко,Čaročkina-Redčenko,1
Чапек-Мулюкина,Čapek-Mulûkina,1
Чапек-Яшина,Čapek-Âšina,1
Чайковская-Фон-Дитц,Čajkovskaâ-Fon-Ditc,1
Чайникова,Čajnikova,1
Чалая,Čalaâ,1
Чанг,Čang,1
Чаевский,Čaevskij,1
Дёбель,Dëbelʹ,1
Вялов,Vâlov,1
Дятлова,Dâtlova,1
Гдльфингер,Gdlʹfinger,1
Дворак,Dvorak,1
Дзвонарик,Dzvonarik,1
Дзибень,Dzibenʹ,1
Джонсон,Džonson,1
Дзелковский,Dzelkovskij,1
Бженикова,Bženikova,1
Джураев,Džuraev,1
Джураева,Džuraeva,1
Биялонь,Biâlonʹ,1
Дичек,Diček,1
Вид,Vid,1
Виббе,Vibbe,1
Гидде,Gidde,1
Дививье,Divivʹe,1
Видиккер,Vidikker,1
Видикер,Vidiker,1
Вивиора,Viviora,1
Видишева,Vidiševa,1
Дигрис,Digris,1
Бибрих,Bibrih,1
Дидрихсон,Didrihson,1
Бигрок,Bigrok,1
Гивлир,Givlir,1
Гибке,Gibke,1
Видлер,Vidler,1
Гивлер,Givler,1
Бивольд,Bivolʹd,1
Гибнер-Никифорова,Gibner-Nikiforova,1
Виге,Vige,1
Видер,Vider,1
Вибер,Viber,1
Видергер,Viderger,1
Видергей,Vidergej,1
Бибербаудер,Biberbauder,1
Видеркер,Viderker,1
Бидерман,Biderman,1
Видерман,Viderman,1
Дидерс,Diders,1
Гивейлер,Givejler,1
Дигель,Digelʹ,1
Видельман,Videlʹman,1
Виденгольд,Videngolʹd,1
Диденко,Didenko,1
Гидеон-Миллек,Gideon-Millek,1
Гидеон-Лих,Gideon-Lih,1
Гидсон,Gidson,1
Видульская,Vidulʹskaâ,1
Виба,Viba,1
Вигалко,Vigalko,1
Бивальд,Bivalʹd,1
Виганд,Vigand,1
Гибш,Gibš,1
Гизбрихт,Gizbriht,1
Гизбрехт-Буллер,Gizbreht-Buller,1
Гизберхт,Gizberht,1
Бизе,Bize,1
Визер,Vizer,1
Виземан,Vizeman,1
Гизель,Gizelʹ,1
Дизен,Dizen,1
Визендорф,Vizendorf,1
Визуль,Vizulʹ,1
Виза,Viza,1
Гиза,Giza,1
Дир,Dir,1
Вир,Vir,1
Бир-Герман,Bir-German,1
Бир-Назаров,Bir-Nazarov,1
Виргин-Штарке,Virgin-Štarke,1
Дирбах,Dirbah,1
Гирзак,Girzak,1
Диринг,Diring,1
Биринбаум,Birinbaum,1
Бирих,Birih,1
Гипп,Gipp,1
Диппольдт,Dippolʹdt,1
Гиппер,Gipper,1
Бирк,Birk,1
Биркгольц,Birkgolʹc,1
Бирке,Birke,1
Биркенберг,Birkenberg,1
Вирмс,Virms,1
Дирксен-Бернгард,Dirksen-Berngard,1
Гиперлинг,Giperling,1
Дипель,Dipelʹ,1
Бирт-Линкер,Birt-Linker,1
Вирт-Франк,Virt-Frank,1
Виртенбергер,Virtenberger,1
Бируля-Близе,Birulâ-Blize,1
Бирулько,Birulʹko,1
Вирфаль,Virfalʹ,1
Гирш-Заблуда,Girš-Zabluda,1
Гирш-Львовский,Girš-Lʹvovskij,1
Гиршберг,Giršberg,1
Гиршкорн,Girškorn,1
Бирюков,Birûkov,1
Бирюкова-Грунне,Birûkova-Grunne,1
Бирюлев-Феллер,Birûlev-Feller,1
Дик-Шмаль,Dik-Šmalʹ,1
Вимбе,Vimbe,1
Гимбель,Gimbelʹ,1
Дикгаута,Dikgauta,1
Билибин,Bilibin,1
Виливальд,Vilivalʹd,1
Билик,Bilik,1
Гилингер,Gilinger,1
Гикиш,Gikiš,1
Биккёрт,Bikkërt,1
Вилливальдт,Villivalʹdt,1
Билле,Bille,1
Виллевальдт,Villevalʹdt,1
Диллер,Diller,1
Димлер,Dimler,1
Биккер-Франк,Bikker-Frank,1
Биккерт-Франк,Bikkert-Frank,1
Диммель-Ульбрих,Dimmelʹ-Ulʹbrih,1
Гилленберг,Gillenberg,1
Дилль,Dillʹ,1
Билль,Billʹ,1
Викн,Vikn,1
Вилевальд,Vilevalʹd,1
Бикер,Biker,1
Викерле,Vikerle,1
Вилерт,Vilert,1
Вилейкис,Vilejkis,1
Гимельрейх,Gimelʹrejh,1
Гиленберг,Gilenberg,1
Викслер,Viksler,1
Виктор,Viktor,1
Викторова,Viktorova,1
Гикст,Gikst,1
Дийц,Dijc,1
Вилумсен,Vilumsen,1
Вилушес,Vilušes,1
Дикарева,Dikareva,1
Биман,Biman,1
Дикау,Dikau,1
Диль-Руш,Dilʹ-Ruš,1
Диль-Клостер,Dilʹ-Kloster,1
Диль-Курамшина,Dilʹ-Kuramšina,1
Диль-Небогина,Dilʹ-Nebogina,1
Вильяшек,Vilʹâšek,1
Вильчек,Vilʹček,1
Вильд,Vilʹd,1
Вильд-Соломко,Vilʹd-Solomko,1
Вильдиман,Vilʹdiman,1
Вильдман,Vilʹdman,1
Гильдманн,Gilʹdmann,1
Гильднер,Gilʹdner,1
Гильдебрадт,Gilʹdebradt,1
Гильбебрант,Gilʹbebrant,1
Гильдебрант-Тишенберг,Gilʹdebrant-Tišenberg,1
Вильвер,Vilʹver,1
Гильдербранд,Gilʹderbrand,1
Гильдерант,Gilʹderant,1
Гильденбродт,Gilʹdenbrodt,1
Гильденберг-Беккер,Gilʹdenberg-Bekker,1
Гильденберг-Моравец,Gilʹdenberg-Moravec,1
Гильгенберг-Майорова,Gilʹgenberg-Majorova,1
Гильгенберг-Фиолетова,Gilʹgenberg-Fioletova,1
Гильденштерн,Gilʹdenštern,1
Гильдт,Gilʹdt,1
Вильдэ,Vilʹdé,1
Вильздорф,Vilʹzdorf,1
Вильперт,Vilʹpert,1
Гильперт,Gilʹpert,1
Вильрат,Vilʹrat,1
Дильк,Dilʹk,1
Вилькина-Вилькс,Vilʹkina-Vilʹks,1
Бильков,Bilʹkov,1
Бильке,Bilʹke,1
Вильман-Ган,Vilʹman-Gan,1
Вильмас,Vilʹmas,1
Вильская,Vilʹskaâ,1
Гильтенберг,Gilʹtenberg,1
Бильц,Bilʹc,1
Гильферд,Gilʹferd,1
Вильфюр,Vilʹfûr,1
Дильшнаидер,Dilʹšnaider,1
Гильшер,Gilʹšer,1
Винд,Vind,1
Дингильштедт,Dingilʹštedt,1
Динглер,Dingler,1
Биндевальд,Bindevalʹd,1
Гингер,Ginger,1
Виндерголлер,Vindergoller,1
Виндерхоллер,Vinderholler,1
Виндекер,Vindeker,1
Виндемут,Vindemut,1
Дингель,Dingelʹ,1
Гиндендорф,Gindendorf,1
Вингентерр,Vingenterr,1
Гинзель,Ginzelʹ,1
Гинжул,Ginžul,1
Винике,Vinike,1
Диниус,Dinius,1
Винкерт,Vinkert,1
Динкелакер,Dinkelaker,1
Гинкель-Неб,Ginkelʹ-Neb,1
Виноградова,Vinogradova,1
Диннер,Dinner,1
Бинер,Biner,1
Гинер,Giner,1
Винер-Гайе,Viner-Gaje,1
Динер-Макелько,Diner-Makelʹko,1
Винерт,Vinert,1
Биненко,Binenko,1
Бинефельд,Binefelʹd,1
Винс-Янцен,Vins-Âncen,1
Винтгольц,Vintgolʹc,1
Гинсман,Ginsman,1
Винтер-Киллер,Vinter-Killer,1
Винтерголер,Vintergoler,1
