surname,surname_latin,n
Деккер,Dekker,27
Гейнц,Gejnc,27
Гартвих,Gartvih,27
Бахман,Bahman,27
Зенгер,Zenger,27
Руфф,Ruff,27
Лоренц,Lorenc,27
Ладнер,Ladner,27
Кауц,Kauc,27
Сайбель,Sajbelʹ,27
Абих,Abih,27
Штейн,Štejn,27
Богер,Boger,26
Вольштейн,Volʹštejn,26
Герцог,Gercog,26
Гейнце,Gejnce,26
Дель,Delʹ,26
Подлих,Podlih,26
Киблер,Kibler,26
Кайб,Kajb,26
Люфт,Lûft,26
Отт,Ott,26
Унгер,Unger,26
Арнольд,Arnolʹd,26
Юнг,Ûng,26
Эргардт,Érgardt,26
Бек,Bek,25
Вальц,Valʹc,25
Бальцер,Balʹcer,25
Бауман,Bauman,25
Изаак,Izaak,25
Руф,Ruf,25
Панкрац,Pankrac,25
Паульс,Paulʹs,25
Кран,Kran,25
Клян,Klân,25
Клипан,Klipan,25
Мартын,Martyn,25
Виган,Vigan,24
Гирш,Girš,24
Диттель,Dittelʹ,24
Гоман,Goman,24
Деринг,Dering,24
Гермоний,Germonij,24
Вазенмиллер,Vazenmiller,24
Попп,Popp,24
Рейх,Rejh,24
Руди,Rudi,24
Киль,Kilʹ,24
Линд,Lind,24
Мецлер,Mecler,24
Никкель,Nikkelʹ,24
Фридрих,Fridrih,24
Фрезе,Freze,24
Акст,Akst,24
Шмунк,Šmunk,24
Штарк,Štark,24
Юстус,Ûstus,24
Дитрих,Ditrih,23
Дитц,Ditc,23
Вербах,Verbah,23
Гетц,Getc,23
Буллер,Buller,23
Гаммершмидт,Gammeršmidt,23
Гасс,Gass,23
Изингер,Izinger,23
Пфейфер,Pfejfer,23
Крец,Krec,23
Кем,Kem,23
Никель,Nikelʹ,23
Альтергот,Alʹtergot,23
Шумахер,Šumaher,23
Бич,Bič,22
Гидеон,Gideon,22
Битнер,Bitner,22
Говейлер,Govejler,22
Вестфаль,Vestfalʹ,22
Бухорн,Buhorn,22
Ваземиллер,Vazemiller,22
Зиман,Ziman,22
Иордан,Iordan,22
Розенберг,Rozenberg,22
Рейхерт,Rejhert,22
Шредер,Šreder,22
Шрейнер,Šrejner,22
Ябс,Âbs,22
Гроо,Groo,21
Брендель,Brendelʹ,21
Грауберг,Grauberg,21
Госсен,Gossen,21
Гутман,Gutman,21
Росс,Ross,21
Редхер,Redher,21
Квиндт,Kvindt,21
Митцих,Mitcih,21
Мелинг,Meling,21
Лейс,Lejs,21
Адлер,Adler,21
Арнгольд,Arngolʹd,21
Шлейхер,Šlejher,21
Шотт,Šott,21
Янке,Ânke,21
Гильдебрант,Gilʹdebrant,20
Вильман,Vilʹman,20
Дридигер,Dridiger,20
Грин,Grin,20
Герлах,Gerlah,20
Бельц,Belʹc,20
Генрихс,Genrihs,20
Гесс,Gess,20
Бухмиллер,Buhmiller,20
Байер,Bajer,20
Гааг,Gaag,20
Ляуман,Lâuman,20
Крайцер,Krajcer,20
Конради,Konradi,20
Майснер,Majsner,20
Отто,Otto,20
Аккерман,Akkerman,20
Юст,Ûst,20
Эйхман,Éjhman,20
Гинкель,Ginkelʹ,19
Динер,Diner,19
Диц,Dic,19
Вольман,Volʹman,19
Дейч,Dejč,19
Губерт,Gubert,19
Гува,Guva,19
Зейферт,Zejfert,19
Ридель,Ridelʹ,19
Риттер,Ritter,19
Рихерт,Rihert,19
Рауш,Rauš,19
Михаэлис,Mihaélis,19
Копп,Kopp,19
Кноль,Knolʹ,19
Кеслер,Kesler,19
Камерлохер,Kamerloher,19
Матис,Matis,19
Триннель,Trinnelʹ,19
Фриц,Fric,19
Штерн,Štern,19
Эргард,Érgard,19
Бем,Bem,18
Детцель,Detcelʹ,18
Вульф,Vulʹf,18
Буш,Buš,18
Гагельганц,Gagelʹganc,18
Гартунг,Gartung,18
Бай,Baj,18
Гайст,Gajst,18
Завадский,Zavadskij,18
Зайберлих,Zajberlih,18
Кронвальд,Kronvalʹd,18
Крюгер,Krûger,18
Кливер,Kliver,18
Келерман,Kelerman,18
Кениг,Kenig,18
Мардель,Mardelʹ,18
Лангер,Langer,18
Освальд,Osvalʹd,18
Егер,Eger,18
Тронто,Tronto,18
Тепфер,Tepfer,18
Альбрехт,Alʹbreht,18
Швайцер,Švajcer,18
Шлегель,Šlegelʹ,18
Шарф,Šarf,18
Эберман,Éberman,18
Дизер,Dizer,17
Гильдман,Gilʹdman,17
Винер,Viner,17
Грауле,Graule,17
Бекк,Bekk,17
Гельмель,Gelʹmelʹ,17
Вамбольдт,Vambolʹdt,17
Гаун,Gaun,17
Гаак,Gaak,17
Иккерт,Ikkert,17
Роо,Roo,17
Ротермель,Rotermelʹ,17
Пуган,Pugan,17
Руш,Ruš,17
Литке,Litke,17
Клинг,Kling,17
Монингер,Moninger,17
Ленц,Lenc,17
Фольц,Folʹc,17
Артес,Artes,17
Швагерус,Švagerus,17
Шпенглер,Špengler,17
Эбель,Ébelʹ,17
Гибельгаус,Gibelʹgaus,16
Брандт,Brandt,16
Воземиллер,Vozemiller,16
Долингер,Dolinger,16
Бенгард,Bengard,16
Геслер,Gesler,16
Гехт,Geht,16
Гармс,Garms,16
Вайгант,Vajgant,16
Гаммер,Gammer,16
Зудерман,Zuderman,16
Зайц,Zajc,16
Иохим,Iohim,16
Плетцер,Pletcer,16
Реннер,Renner,16
Рупп,Rupp,16
Райхель,Rajhelʹ,16
Минх,Minh,16
Морланг,Morlang,16
Моравец,Moravec,16
Кондрад,Kondrad,16
Мунц,Munc,16
Ноль,Nolʹ,16
Нагель,Nagelʹ,16
Тротно,Trotno,16
Тейхриб,Tejhrib,16
Фризоргер,Frizorger,16
Цейзер,Cejzer,16
Шперлинг,Šperling,16
Шмидтке,Šmidtke,16
Шмальц,Šmalʹc,16
Шель,Šelʹ,16
Шандер,Šander,16
Эверт,Évert,16
Вилль,Villʹ,15
Гильдебрандт,Gilʹdebrandt,15
Бихерт,Bihert,15
Бокк,Bokk,15
Гейзер,Gejzer,15
Беллер,Beller,15
Гальвас,Galʹvas,15
Гаузер,Gauzer,15
Бааль,Baalʹ,15
Зель,Zelʹ,15
Зайбель,Zajbelʹ,15
Квиринг,Kviring,15
Креккер,Krekker,15
Кобер,Kober,15
Лорер,Lorer,15
Левин,Levin,15
Кених,Kenih,15
Лефлер,Lefler,15
Луфт,Luft,15
Мазер,Mazer,15
Маркер,Marker,15
Лакман,Lakman,15
Лауман,Lauman,15
Люст,Lûst,15
Нахтигаль,Nahtigalʹ,15
Тим,Tim,15
Фикс,Fiks,15
Флейшман,Flejšman,15
Фохт,Foht,15
Феллер,Feller,15
Арльт,Arlʹt,15
Шоль,Šolʹ,15
Шейерман,Šejerman,15
Шамбер,Šamber,15
Янц,Ânc,15
Эйдемиллер,Éjdemiller,15
Эйрих,Éjrih,15
Биглер,Bigler,14
Гибнер,Gibner,14
Дизендорф,Dizendorf,14
Виллер,Viller,14
Вильмс,Vilʹms,14
Гинц,Ginc,14
Бопп,Bopp,14
Гольмгрейн,Golʹmgrejn,14
Гер,Ger,14
Бергман,Bergman,14
Бергштрейсер,Bergštrejser,14
Герк,Gerk,14
Бертрам,Bertram,14
Геллерт,Gellert,14
Гейне,Gejne,14
Вельц,Velʹc,14
Вундер,Vunder,14
Вайгель,Vajgelʹ,14
Даудрих,Daudrih,14
Гафнер,Gafner,14
Бюллер,Bûller,14
Зейц,Zejc,14
Зуккау,Zukkau,14
Попова,Popova,14
Паль,Palʹ,14
Мильде,Milʹde,14
Киссер,Kisser,14
Мицих,Micih,14
Кляузер,Klâuzer,14
Козловский,Kozlovskij,14
Мольц,Molʹc,14
Леглер,Legler,14
Мерц,Merc,14
Кейних,Kejnih,14
Кель,Kelʹ,14
Лапп,Lapp,14
Маркварт,Markvart,14
Майстер,Majster,14
Мантай,Mantaj,14
Маер,Maer,14
Маурер,Maurer,14
Лютц,Lûtc,14
Орман,Orman,14
Ольденбургер,Olʹdenburger,14
Ессе,Esse,14
Тиц,Tic,14
Триппель,Trippelʹ,14
Трупп,Trupp,14
Томас,Tomas,14
Семке,Semke,14
Цильке,Cilʹke,14
Унрау,Unrau,14
Антон,Anton,14
Швабауэр,Švabauér,14
Шимпф,Šimpf,14
Шлей,Šlej,14
Шмаль,Šmalʹ,14
Шейфер,Šejfer,14
Штрек,Štrek,14
Штейнмиллер,Štejnmiller,14
Шуберт,Šubert,14
Эберенц,Éberenc,14
Эберт,Ébert,14
Эльснер,Élʹsner,14
Гильгенберг,Gilʹgenberg,13
Вильгаук,Vilʹgauk,13
Винклер,Vinkler,13
Виншу,Vinšu,13
