date_ym,ETHNIC_BEL,ETHNIC_UKR,ETHNIC_GER,ETHNIC_POL,ETHNIC_ARMENIAN,ETHNIC_GREEK,ETHNIC_JEWISH,ETHNIC_KABARDIN,ETHNIC_KALMYK,ETHNIC_CHINESE,ETHNIC_KOREAN,ETHNIC_LATVIAN,ETHNIC_LITHUANIAN,ETHNIC_OSSETIAN,ETHNIC_ESTONIAN,ETHNIC_TATAR,ETHNIC_CHECHEN,n
1919-10-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-10-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-10-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1919-10-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-10-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1919-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810
1919-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
1919-11-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
1919-11-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1919-11-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-11-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1919-11-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1919-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917
1919-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26
1919-12-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1919-12-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
1919-12-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1919-12-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384
1919-2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1919-2-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1919-2-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1919-2-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-2-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384
1919-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28
1919-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1919-3-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1919-4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753
1919-4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1919-4-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1919-4-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1919-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329
1919-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
1919-5-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1919-5-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1919-5-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1919-5-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1919-5-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-6-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717
1919-6-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47
1919-6-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1919-6-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-6-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1919-6-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1919-7-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808
1919-7-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12
1919-7-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1919-7-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1919-7-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1919-7-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1919-8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819
1919-8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1919-8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
1919-8-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1919-8-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1919-9-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927
1919-9-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
1919-9-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1919-9-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1919-9-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1919-9-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1919-9-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714
1920-1-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
1920-1-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
1920-1-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1920-1-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
1920-1-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1920-1-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1920-1-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-1-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-1-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204
1920-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1920-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1920-10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
1920-10-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1920-10-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1920-10-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1920-10-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1920-10-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1920-10-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1920-10-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1920-10-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1920-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838
1920-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
1920-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1920-11-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1920-11-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1920-11-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1920-11-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27
1920-11-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
1920-11-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1920-11-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1920-11-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1920-11-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1920-11-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1920-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717
1920-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22
1920-12-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
1920-12-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1920-12-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1920-12-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1920-12-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
1920-12-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-12-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1920-12-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1920-12-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1920-12-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1920-12-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1920-2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826
1920-2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38
1920-2-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1920-2-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1920-2-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1920-2-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1920-2-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1920-2-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1920-2-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1920-2-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1920-2-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1920-2-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1920-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963
1920-3-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25
1920-3-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1920-3-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1920-3-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1920-3-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
1920-3-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1920-3-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1920-3-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-3-1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1
1920-3-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1920-3-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861
1920-4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11
1920-4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1920-4-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1920-4-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1920-4-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
